n,nodes
6,6
8,13
10,16
12,26
16,80
20,44
24,94
32,45
36,47
40,11
45,22
48,49
52,1326
64,433
72,124
80,107
81,949
90,5160
99,10412
100,287
108,30
110,9
120,270
126,134
130,201
132,17
135,2190
144,536
160,404
170,11
176,9
180,8
182,25
187,10
189,10
192,9
198,13
208,600
210,17
216,13
221,9
243,108
264,15
270,22
300,15
308,8
312,202
322,8
340,7
352,18
360,18
375,11
396,8
400,13
405,1950
414,7
416,7
429,10
437,9
440,15
464,18
465,9
475,9
480,9
486,2672
504,165
513,16
560,15
561,8
575,10
600,405
624,27
640,107
651,14
775,1841
783,15
784,6
840,694
900,8
924,1899
928,325
1024,11
1089,10
1260,25
1860,3603
1920,150
2736,27
2856,9
2880,10
3016,15
3080,11
3840,14671
4000,2364
4200,5
4224,15
4480,15
4752,47
7296,9086
7440,13
7544,9978
7680,56
8064,47
11340,8953
12288,13762
13824,7
36864,15
38400,14
46200,9
46592,26
47104,15
56832,12
