n,nodes
6,6
8,10
10,14
12,23
16,29
20,25
24,35
32,45
36,27
40,10
45,16
48,27
52,125
64,66
72,64
80,28
81,152
90,94
99,221
100,228
108,23
110,8
120,62
126,35
130,46
132,15
135,213
144,90
160,87
170,12
176,8
180,8
182,16
187,9
189,9
192,10
198,12
208,55
210,12
216,13
221,7
243,39
264,13
270,16
300,14
308,8
312,43
322,9
340,8
352,18
360,15
375,9
396,8
400,12
405,208
414,7
416,8
429,8
437,7
440,15
464,16
465,7
475,8
480,8
486,237
504,65
513,14
560,13
561,8
575,7
600,73
624,17
640,41
651,12
775,171
783,11
784,6
840,94
900,9
924,202
928,71
1024,11
1089,8
1260,18
1860,265
1920,97
2736,19
2856,8
2880,10
3016,13
3080,11
3840,474
4000,170
4200,6
4224,12
4480,17
4752,33
7296,320
7296,OOT
7440,11
7544,291
7544,OOT
7680,37
8064,29
11340,OOT
12288,OOT
13824,7
36864,OOM
38400,OOM
46200,OOM
46592,OOM
47104,OOM
56832,OOM
