n,nodes
6,6
8,12
10,18
12,22
16,84
20,38
24,74
32,44
36,40
40,10
45,20
48,49
52,878
64,335
72,128
80,49
81,521
90,4879
99,10289
100,289
108,19
110,9
120,176
126,93
130,238
132,14
135,1481
144,427
160,304
170,9
176,9
180,8
182,24
187,9
189,10
192,9
198,16
208,385
210,11
216,11
221,8
243,109
264,11
270,16
300,11
308,7
312,171
322,9
340,8
352,14
360,12
375,11
396,9
400,9
405,1688
414,7
416,8
429,9
437,8
440,10
464,10
465,9
475,9
480,9
486,2412
504,143
513,11
560,16
561,8
575,10
600,301
624,27
640,49
651,10
775,840
783,11
784,6
840,578
900,9
924,829
928,301
1024,11
1089,11
1260,26
1860,4375
1920,160
2736,26
2856,8
2880,10
3016,11
3080,10
3840,16076
4000,2375
4200,5
4224,13
4480,12
4752,36
7296,9211
7440,12
7544,9998
7680,34
8064,32
11340,8880
12288,13677
13824,7
36864,15
38400,13
46200,11
46592,28
47104,15
56832,12
