n,nodes
6,6
8,11
10,17
12,23
16,30
20,26
24,32
32,45
36,23
40,8
45,15
48,29
52,93
64,74
72,63
80,25
81,135
90,137
99,212
100,230
108,14
110,8
120,50
126,35
130,45
132,13
135,216
144,74
160,79
170,8
176,8
180,8
182,15
187,7
189,8
192,9
198,13
208,63
210,10
216,11
221,8
243,28
264,10
270,14
300,9
308,7
312,43
322,8
340,7
352,12
360,12
375,9
396,7
400,8
405,136
414,7
416,8
429,8
437,7
440,10
464,9
465,7
475,7
480,9
486,142
504,74
513,8
560,13
561,8
575,7
600,71
624,19
640,24
651,8
775,160
783,9
784,6
840,110
900,9
924,169
928,69
1024,12
1089,10
1260,16
1860,267
1920,100
2736,17
2856,9
2880,11
3016,10
3080,9
3840,593
4000,140
4200,5
4224,12
4480,11
4752,22
7296,OOT
7440,10
7544,292
7544,OOT
7680,25
8064,21
11340,OOT
12288,OOT
13824,7
36864,OOM
38400,OOM
46200,OOM
46592,OOM
47104,OOM
56832,OOM
