n,nodes
6,6
8,11
10,17
12,25
16,81
20,40
24,72
32,40
36,39
40,9
45,23
48,51
52,834
64,333
72,131
80,57
81,531
90,4879
99,10394
100,276
108,20
110,9
120,178
126,94
130,208
132,12
135,1449
144,397
160,284
170,9
176,10
180,9
182,25
187,9
189,11
192,9
198,13
208,370
210,10
216,10
221,8
243,105
264,11
270,14
300,11
308,9
312,172
322,9
340,7
352,12
360,12
375,12
396,7
400,9
405,1587
414,7
416,9
429,9
437,9
440,10
464,11
465,9
475,9
480,9
486,2238
504,150
513,10
560,19
561,9
575,10
600,333
624,25
640,45
651,10
775,774
783,11
784,6
840,568
900,8
924,808
928,301
1024,11
1089,10
1260,25
1860,3529
1920,143
2736,29
2856,8
2880,10
3016,11
3080,11
3840,15892
4000,2400
4200,5
4224,15
4480,11
4752,31
7296,9041
7440,12
7544,10027
7680,37
8064,28
11340,8932
12288,13933
13824,7
36864,16
38400,11
46200,10
46592,27
47104,14
56832,12
