n,nodes
6,5
8,11
10,14
12,20
16,34
20,26
24,30
32,39
36,20
40,8
45,15
48,28
52,90
64,69
72,62
80,27
81,146
90,132
99,211
100,229
108,16
110,8
120,57
126,35
130,57
132,12
135,180
144,67
160,80
170,8
176,8
180,8
182,15
187,7
189,9
192,11
198,12
208,65
210,9
216,11
221,7
243,36
264,10
270,12
300,11
308,7
312,46
322,8
340,8
352,12
360,11
375,9
396,8
400,7
405,118
414,7
416,7
429,8
437,7
440,11
464,9
465,8
475,7
480,8
486,190
504,56
513,8
560,15
561,8
575,8
600,74
624,16
640,28
651,8
775,150
783,9
784,6
840,123
900,9
924,202
928,69
1024,11
1089,9
1260,18
1860,260
1920,110
2736,17
2856,9
2880,11
3016,10
3080,10
3840,478
4000,176
4200,5
4224,13
4480,11
4752,22
7296,OOT
7440,10
7544,290
7544,OOT
7680,24
8064,20
11340,OOT
12288,OOT
13824,7
36864,OOM
38400,OOM
46200,OOM
46592,OOM
47104,OOM
56832,OOM
