n,nodes
6,6
8,10
10,17
12,27
16,39
20,52
24,80
32,49
36,39
40,10
45,18
48,44
52,297
64,350
72,127
80,40
81,921
90,1179
99,2256
100,314
108,27
110,8
120,208
126,113
130,170
132,16
135,2182
144,489
160,329
170,10
176,8
180,9
182,19
187,9
189,8
192,10
198,14
208,130
210,14
216,13
221,7
243,52
264,13
270,17
300,13
308,9
312,179
322,8
340,8
352,17
360,15
375,9
396,8
400,12
405,1779
414,7
416,8
429,8
437,7
440,15
464,18
465,8
475,7
480,10
486,2544
504,181
513,14
560,18
561,7
575,8
600,342
624,23
640,86
651,13
775,1334
783,12
784,6
840,600
900,8
924,1852
928,306
1024,11
1089,9
1260,23
1860,2743
1920,201
2736,22
2856,9
2880,9
3016,16
3080,10
3840,14666
4000,2193
4200,6
4224,10
4480,15
4752,44
7296,9080
7440,10
7544,10017
7680,41
8064,42
11340,8789
12288,13559
13824,7
36864,12
38400,11
46200,9
46592,26
47104,9
56832,8
