n,nodes
6,5
8,9
10,16
12,30
16,39
20,46
24,76
32,50
36,40
40,9
45,18
48,40
52,307
64,353
72,131
80,40
81,944
90,1185
99,2405
100,351
108,24
110,7
120,207
126,103
130,168
132,18
135,2180
144,477
160,333
170,10
176,9
180,7
182,20
187,9
189,7
192,10
198,12
208,127
210,15
216,13
221,7
243,54
264,13
270,18
300,13
308,9
312,174
322,8
340,8
352,18
360,15
375,8
396,9
400,10
405,1771
414,7
416,7
429,8
437,7
440,14
464,18
465,8
475,7
480,9
486,2544
504,191
513,14
560,16
561,8
575,8
600,338
624,24
640,88
651,11
775,1353
783,13
784,6
840,633
900,8
924,1804
928,312
1024,11
1089,8
1260,22
1860,2702
1920,198
2736,21
2856,9
2880,11
3016,15
3080,10
3840,14669
4000,2240
4200,5
4224,10
4480,15
4752,44
7296,9108
7440,11
7544,10001
7680,44
8064,45
11340,8829
12288,13556
12288,OOT
13824,7
36864,OOM
38400,OOM
46200,OOM
46592,OOM
47104,OOM
56832,OOM
