n,nodes
6,6
8,11
10,16
12,23
16,39
20,50
24,71
32,35
36,31
40,8
45,18
48,37
52,320
64,302
72,97
80,34
81,719
90,1174
99,2188
100,258
108,16
110,8
120,165
126,93
130,166
132,14
135,1648
144,327
160,315
170,9
176,9
180,8
182,21
187,7
189,7
192,10
198,13
208,113
210,9
216,10
221,7
243,45
264,10
270,13
300,10
308,7
312,184
322,8
340,8
352,12
360,11
375,8
396,8
400,8
405,1030
414,7
416,7
429,7
437,7
440,10
464,8
465,8
475,8
480,9
486,1508
504,160
513,8
560,18
561,8
575,7
600,296
624,24
640,39
651,8
775,1020
783,10
784,6
840,598
900,9
924,1464
928,291
1024,11
1089,9
1260,22
1860,3170
1920,169
2736,21
2856,9
2880,10
3016,11
3080,9
3840,16004
4000,2321
4200,5
4224,11
4480,11
4752,26
7296,9125
7440,9
7544,10011
7680,29
8064,25
11340,8850
12288,13524
13824,7
36864,9
38400,11
46200,10
46592,23
47104,13
56832,8
