n,nodes
6,6
8,10
10,17
12,24
16,40
20,46
24,69
32,45
36,32
40,8
45,15
48,38
52,305
64,308
72,117
80,35
81,726
90,986
99,2208
100,238
108,17
110,7
120,169
126,94
130,161
132,15
135,1870
144,296
160,315
170,7
176,8
180,7
182,21
187,7
189,7
192,10
198,13
208,108
210,10
216,10
221,7
243,51
264,11
270,16
300,10
308,8
312,185
322,7
340,8
352,13
360,11
375,9
396,9
400,8
405,1032
414,7
416,9
429,8
437,7
440,10
464,9
465,7
475,7
480,8
486,1522
504,163
513,8
560,16
561,7
575,7
600,289
624,23
640,40
651,8
775,1030
783,8
784,6
840,625
900,9
924,1400
928,295
1024,12
1089,9
1260,18
1860,3148
1920,160
2736,22
2856,8
2880,10
3016,11
3080,11
3840,16148
4000,2299
4200,5
4224,12
4480,11
4752,26
7296,9050
7440,8
7544,10002
7680,25
8064,27
11340,8721
12288,13683
13824,7
36864,OOM
38400,OOM
46200,OOM
46592,OOM
47104,OOM
56832,OOM
