n,nodes
6,6
8,9
10,17
12,24
16,40
20,45
24,66
32,41
36,37
40,7
45,18
48,40
52,296
64,349
72,100
80,37
81,810
90,1300
99,2204
100,238
108,18
110,8
120,160
126,85
130,168
132,14
135,1665
144,377
160,315
170,9
176,8
180,9
182,21
187,7
189,9
192,10
198,14
208,108
210,10
216,11
221,7
243,49
264,10
270,16
300,10
308,7
312,186
322,8
340,9
352,12
360,12
375,9
396,8
400,7
405,1100
414,7
416,8
429,7
437,7
440,11
464,9
465,8
475,7
480,9
486,1636
504,148
513,10
560,18
561,7
575,8
600,288
624,19
640,45
651,8
775,1060
783,10
784,6
840,620
900,9
924,1430
928,295
1024,11
1089,7
1260,22
1860,2672
1920,165
2736,23
2856,8
2880,11
3016,11
3080,10
3840,16087
4000,2283
4200,5
4224,12
4480,11
4752,28
7296,9111
7440,9
7544,10064
7680,30
8064,27
11340,8728
12288,13820
13824,7
36864,12
38400,9
46200,10
46592,23
47104,11
56832,11
