n,nodes
6,5
8,10
10,16
12,23
16,36
20,46
24,93
32,44
36,31
40,8
45,18
48,38
52,308
64,310
72,105
80,36
81,717
90,1175
99,2238
100,258
108,16
110,8
120,154
126,88
130,163
132,14
135,1667
144,326
160,323
170,9
176,8
180,9
182,21
187,7
189,9
192,10
198,12
208,112
210,9
216,11
221,7
243,52
264,11
270,13
300,9
308,7
312,188
322,8
340,9
352,12
360,11
375,9
396,8
400,8
405,1136
414,7
416,7
429,7
437,7
440,10
464,8
465,9
475,7
480,9
486,1610
504,157
513,9
560,17
561,8
575,8
600,296
624,22
640,46
651,8
775,1040
783,8
784,6
840,631
900,9
924,1420
928,292
1024,11
1089,7
1260,22
1860,2692
1920,134
2736,23
2856,9
2880,10
3016,11
3080,9
3840,15958
4000,2282
4200,6
4224,11
4480,11
4752,31
7296,9116
7440,10
7544,10019
7680,29
8064,28
11340,8824
12288,13609
13824,7
36864,OOM
38400,OOM
46200,OOM
46592,OOM
47104,OOM
56832,OOM
