n,nodes
1158,1
4894,1
6596,1
15891,6
16690,1
51016,21
54406,3
72375,6
86281,6
115954,6
133935,12
161040,18
162148,9
225114,21
237313,21
266068,15
275828,24
284695,30
285495,268
289840,27
290730,21
317569,21
332867,24
338297,76
349516,36
369255,27
401897,48
434530,31
436535,54
472969,54
481701,82
489116,72
502594,45
510223,91
510534,108
524983,78
549789,101
550935,31
551069,59
566851,108
581381,154
583868,96
590682,60
619162,93
631770,103
678543,133
695031,99
709568,162
743136,60
749766,212
780602,107
819138,104
943290,70
955900,133
1063465,1148
1679418,507
