n,nodes
1158,26563
4894,846
6596,854
15891,1894
16690,2232
51016,4318
54406,3159
72375,OOT
86281,OOT
115954,12626
115954,OOT
133935,OOT
161040,OOT
162148,OOT
225114,OOT
237313,94459
237313,OOT
266068,OOT
275828,OOT
284695,OOT
285495,OOT
289840,OOT
290730,OOT
317569,OOT
332867,OOT
338297,OOT
349516,OOT
369255,OOT
401897,OOT
434530,595906
434530,OOT
436535,OOT
472969,OOT
481701,OOT
489116,OOT
502594,36152
502594,OOT
510223,OOT
510534,OOT
524983,OOT
549789,OOT
550935,OOT
551069,OOT
566851,OOT
581381,OOT
583868,541442
583868,OOT
590682,OOT
619162,OOT
631770,OOT
678543,OOT
695031,OOT
709568,OOT
743136,OOT
749766,OOT
780602,OOT
819138,OOT
943290,OOT
955900,OOT
1063465,OOT
1679418,OOT
